"player","total_goals"
"Erling Haaland",27
"Igor Thiago",22
"Antoine Semenyo",17
"Ollie Watkins",16
"João Pedro",15
"Morgan Gibbs-White",15
"Dominic Calvert-Lewin",14
"Viktor Gyökeres",14
"Eli Junior Kroupi",13
"Danny Welbeck",13
"Jean-Philippe Mateta",12
"Richarlison",11
"Benjamin Šeško",11
"Bryan Mbeumo",11
"Zian Flemming",11
"Hugo Ekitike",11
"Enzo Fernández",10
"Matheus Cunha",10
"Harry Wilson",10
"Cole Palmer",10
"Morgan Rogers",10
"Beto",9
"Ismaila Sarr",9
"Raúl Jiménez",9
"Bruno Guimarães",9
"Casemiro",9
"Bruno Fernandes",9
"Jarrod Bowen",9
"Jaidon Anthony",8
"Kevin Schade",8
"Noah Okafor",8
"Kiernan Dewsbury-Hall",8
"Thierno Barry",8
"Nick Woltemade",8
"Marcus Tavernier",7
"Bukayo Saka",7
"Callum Wilson",7
"Dango Ouattara",7
"Brian Brobbey",7
"Eberechi Eze",7
"Cody Gakpo",7
"Mohamed Salah",7
"Phil Foden",7
"William Osula",7
"Harvey Barnes",7
"Anthony Gordon",6
"Virgil van Dijk",6
"Dominik Szoboszlai",6
"Lukas Nmecha",6
"Valentín Castellanos",6
"Igor Jesus",6
"Emi Buendía",6
"Wilson Isidor",6
"Leandro Trossard",6
"Iliman Ndiaye",6
"Evanilson",6
"Florian Wirtz",5
"Diego Gómez",5
"Tomáš Souček",5
"Rayan",5
"João Palhinha",5
"Tijjani Reijnders",5
"Ryan Gravenberch",5
"Enzo Le Fée",5
"Martín Zubimendi",5
"Jeremy Doku",5
"Pedro Neto",5
"Crysencio Summerville",5
"John McGinn",5
"Anton Stach",5
"Nico O’Reilly",5
"Mikkel Damsgaard",4
"Daniel Muñoz",4
"Cristian Romero",4
"Jørgen Strand Larsen",4
"Mikel Merino",4
"Brenden Aaronson",4
"Mathys Tel",4
"Rayan Cherki",4
"Jack Hinshelwood",4
"Malick Thiaw",4
"Donyell Malen",4
"Declan Rice",4
"Micky van de Ven",4
"Lucas Paquetá",4
"Chemsdine Talbi",4
"Elliot Anderson",4
"Alex Iwobi",4
"Patrick Dorgu",4
"Taiwo Awoniyi",4
"Trevoh Chalobah",3
"Samuel Chukwueze",3
"Jan Paul van Hecke",3
"Yasin Ayari",3
"Moisés Caicedo",3
"Emile Smith Rowe",3
"Kaoru Mitoma",3
"Georginio Rutter",3
"Tolu Arokodare",3
"Mason Mount",3
"Omar Marmoush",3
"Ryan Sessegnon",3
"Callum Hudson-Odoi",3
"Jacob Murphy",3
"Michael Keane",3
"Jurriën Timber",3
"Marc Guéhi",3
"Alexander Isak",3
"Mateus Fernandes",3
"Rodrigo Gomes",3
"Lesley Ugochukwu",3
"Alex Scott",3
"Chris Wood",3
"Amine Adli",3
"Dominic Solanke",3
"Nordi Mukiele",3
"Lyle Foster",3
"Konstantinos Mavropanos",3
"Matty Cash",3
"Noni Madueke",3
"Santiago Bueno",3
"Gabriel Jesus",3
"Yankuba Minteh",3
"Keane Lewis-Potter",3
"Mathias Jensen",3
"Mateus Mane",3
"Gabriel Magalhães",3
"Ross Barkley",3
"Charalampos Kostoulas",2
"Kai Havertz",2
"Habib Diarra",2
"Yeremi Pino",2
"Adam Armstrong",2
"Ryan Christie",2
"Tom Cairney",2
"Eddie Nketiah",2
"Alexis Mac Allister",2
"James Justin",2
"Joelinton",2
"Tammy Abraham",2
"Josh Cullen",2
"Malo Gusto",2
"Joe Rodon",2
"Mats Wieffer",2
"Idrissa Gana Gueye",2
"Jacob Ramsey",2
"Daniel Ballard",2
"Amad Diallo",2
"Estêvão Willian",2
"Jack Grealish",2
"Bernardo Silva",2
"Xavi Simons",2
"Rúben Dias",2
"Neco Williams",2
"Federico Chiesa",2
"Hwang Hee-chan",2
"Pape Matar Sarr",2
"Tyler Adams",2
"Joško Gvardiol",2
"Ao Tanaka",2
"Archie Gray",2
"Sean Longstaff",2
"Trai Hume",2
"Mohammed Kudus",2
"Maxim De Cuyper",2
"Reece James",2
"James Garner",2
"Brennan Johnson",2
"Justin Kluivert",2
"Ibrahim Sangaré",2
"Eliezer Mayenda",2
"Ladislav Krejčí",2
"Amadou Onana",2
"Nicolò Savona",2
"Joshua Zirkzee",2
"James Tarkowski",2
"Loum Tchaouna",2
"Rio Ngumoha",2
"Milos Kerkez",2
