"match_week","total_goals","average_attendance","number_of_matches"
1.0,24,45517,10
2.0,27,37821,10
3.0,25,45140,10
4.0,18,38054,10
5.0,25,42462,10
6.0,31,40582,10
7.0,24,41184,10
8.0,26,42235,10
9.0,32,41348,10
10.0,24,41212,10
11.0,33,42801,10
12.0,27,40435,10
13.0,32,42747,10
14.0,30,40142,10
15.0,29,39924,10
16.0,30,43885,10
17.0,24,39210,10
18.0,20,44009,10
19.0,23,44292,10
20.0,32,39866,10
21.0,27,37421,10
22.0,16,45367,10
23.0,32,38085,10
24.0,32,45114,10
25.0,27,40279,10
26.0,22,42425,10
27.0,21,42907,10
28.0,33,40189,10
29.0,24,39632,10
30.0,16,43554,10
31.0,28,39991,10
32.0,26,43772,10
33.0,29,41382,10
34.0,24,41958,10
35.0,35,41301,10
36.0,22,41062,10
37.0,32,41561,10
38.0,23,42011,10
