"team","player","total_minutes"
"Liverpool","Virgil van Dijk",3420
"Everton","Jordan Pickford",3420
"Bournemouth","Đorđe Petrović",3420
"Brighton & Hove Albion","Bart Verbruggen",3420
"Fulham","Bernd Leno",3420
"West Ham United","Jarrod Bowen",3403
"Nottingham Forest","Nikola Milenković",3375
"Crystal Palace","Dean Henderson",3330
"Brentford","Caoimhín Kelleher",3330
"Arsenal","David Raya",3330
"Aston Villa","Morgan Rogers",3280
"Manchester United","Luke Shaw",3219
"Sunderland","Robin Roefs",3150
"Burnley","Martin Dúbravka",3150
"Leeds United","Ethan Ampadu",3119
"Chelsea","Enzo Fernández",3115
"Manchester City","Gianluigi Donnarumma",3060
"Tottenham Hotspur","Micky van de Ven",3041
"Newcastle United","Malick Thiaw",2965
"Wolverhampton Wanderers","João Gomes",2829
