"team","player","matches_with_goal_and_assist"
"Manchester City","Erling Haaland",5
"Manchester United","Bruno Fernandes",4
"Chelsea","João Pedro",3
"Newcastle United","Bruno Guimarães",2
"Liverpool","Dominik Szoboszlai",2
"Chelsea","Enzo Fernández",2
"Liverpool","Hugo Ekitike",2
"Aston Villa","Ollie Watkins",2
"Fulham","Harry Wilson",2
"Sunderland","Enzo Le Fée",2
"Manchester United","Casemiro",2
"Bournemouth","Antoine Semenyo",2
"Tottenham Hotspur","Xavi Simons",2
"West Ham United","Jarrod Bowen",2
"Arsenal","Leandro Trossard",2
"Fulham","Alex Iwobi",2
"Chelsea","Pedro Neto",1
"Chelsea","Reece James",1
"Everton","Beto",1
"Everton","James Garner",1
"Everton","James Tarkowski",1
"Everton","Kiernan Dewsbury-Hall",1
"Fulham","Joshua King",1
"Leeds United","Anton Stach",1
"Leeds United","Dominic Calvert-Lewin",1
"Leeds United","Lukas Nmecha",1
"Leeds United","Noah Okafor",1
"Leeds United","Sean Longstaff",1
"Liverpool","Cody Gakpo",1
"Liverpool","Florian Wirtz",1
"Liverpool","Ryan Gravenberch",1
"Manchester City","Antoine Semenyo",1
"Manchester City","Phil Foden",1
"Manchester City","Rayan Cherki",1
"Manchester City","Tijjani Reijnders",1
"Manchester United","Patrick Dorgu",1
"Newcastle United","Lewis Miley",1
"Nottingham Forest","Callum Hudson-Odoi",1
"Nottingham Forest","Ibrahim Sangaré",1
"Nottingham Forest","Igor Jesus",1
"Nottingham Forest","Morgan Gibbs-White",1
"Tottenham Hotspur","Lucas Bergvall",1
"Tottenham Hotspur","Mohammed Kudus",1
"West Ham United","Lucas Paquetá",1
"Arsenal","Bukayo Saka",1
"Wolverhampton Wanderers","Hwang Hee-chan",1
"Arsenal","Jurriën Timber",1
"Arsenal","Mikel Merino",1
"Arsenal","Noni Madueke",1
"Arsenal","Viktor Gyökeres",1
"Aston Villa","Emi Buendía",1
"Aston Villa","Morgan Rogers",1
"Bournemouth","Marcus Tavernier",1
"Brentford","Dango Ouattara",1
"Brentford","Mikkel Damsgaard",1
"Brentford","Nathan Collins",1
"Burnley","Jaidon Anthony",1
"Burnley","Josh Cullen",1
"Chelsea","Cole Palmer",1
"Chelsea","Estêvão Willian",1
"Chelsea","Malo Gusto",1
