"team","total_goals","total_shots","goal_conversion_rate"
"Brentford",53,405,0.131
"Manchester City",74,595,0.124
"Arsenal",67,552,0.121
"Chelsea",57,509,0.112
"Manchester United",66,595,0.111
"Aston Villa",53,483,0.110
"West Ham United",44,404,0.109
"Tottenham Hotspur",47,435,0.108
"Newcastle United",53,492,0.108
"Bournemouth",57,526,0.108
"Everton",45,422,0.107
"Liverpool",61,588,0.104
"Brighton & Hove Albion",51,494,0.103
"Leeds United",48,477,0.101
"Nottingham Forest",47,476,0.099
"Burnley",35,355,0.099
"Sunderland",38,396,0.096
"Crystal Palace",40,442,0.090
"Fulham",43,481,0.089
"Wolverhampton Wanderers",26,369,0.070
