"team","player","total_goals","total_assists","goal_contributions","team_total_goals","contribution_percentage"
"Manchester City","Erling Haaland",27,8,35,74,47.30
"Manchester United","Bruno Fernandes",9,21,30,66,45.45
"West Ham United","Jarrod Bowen",9,11,20,44,45.45
"Brentford","Igor Thiago",22,1,23,53,43.40
"Nottingham Forest","Morgan Gibbs-White",15,4,19,47,40.43
"Fulham","Harry Wilson",10,7,17,43,39.53
"Aston Villa","Ollie Watkins",16,3,19,53,35.85
"Chelsea","João Pedro",15,5,20,57,35.09
"Tottenham Hotspur","Richarlison",11,4,15,47,31.91
"Burnley","Zian Flemming",11,0,11,35,31.43
"Leeds United","Dominic Calvert-Lewin",14,1,15,48,31.25
"Crystal Palace","Jean-Philippe Mateta",12,0,12,40,30.00
"Sunderland","Enzo Le Fée",5,6,11,38,28.95
"Brighton & Hove Albion","Danny Welbeck",13,1,14,51,27.45
"Everton","Kiernan Dewsbury-Hall",8,4,12,45,26.67
"Newcastle United","Bruno Guimarães",9,5,14,53,26.42
"Liverpool","Hugo Ekitike",11,4,15,61,24.59
"Bournemouth","Antoine Semenyo",10,3,13,57,22.81
"Bournemouth","Eli Junior Kroupi",13,0,13,57,22.81
"Arsenal","Viktor Gyökeres",14,1,15,67,22.39
"Wolverhampton Wanderers","Santiago Bueno",3,1,4,26,15.38
"Wolverhampton Wanderers","Adam Armstrong",2,2,4,26,15.38
"Wolverhampton Wanderers","Mateus Mane",3,1,4,26,15.38
"Wolverhampton Wanderers","Tolu Arokodare",3,1,4,26,15.38
"Wolverhampton Wanderers","Hwang Hee-chan",2,2,4,26,15.38
