"team","total_yellow_cards","total_red_cards","total_fouls_committed","fair_play_score"
"Arsenal",51,0,391,246.5
"Aston Villa",58,1,379,250.5
"Manchester City",67,0,367,250.5
"Liverpool",57,1,384,252.0
"Leeds United",64,1,398,266.0
"Nottingham Forest",60,1,406,266.0
"Brentford",69,1,390,267.0
"Manchester United",64,3,390,268.0
"Newcastle United",67,3,385,268.5
"Burnley",65,3,392,270.0
"Crystal Palace",76,2,398,281.0
"Fulham",75,1,414,285.0
"West Ham United",69,3,421,288.5
"Everton",74,4,409,290.5
"Sunderland",82,3,407,294.5
"Brighton & Hove Albion",86,0,453,312.5
"Bournemouth",88,2,458,323.0
"Chelsea",98,8,419,331.5
"Wolverhampton Wanderers",80,3,494,336.0
"Tottenham Hotspur",101,4,462,344.0
