"player","total_red_cards"
"Wesley Fofana",2
"Cristian Romero",2
"Daniel Ballard",1
"Trevoh Chalobah",1
"Casemiro",1
"Micky van de Ven",1
"Toti Gomes",1
"Moisés Caicedo",1
"Neco Williams",1
"Ladislav Krejčí",1
"Dan Burn",1
"Jack Grealish",1
"Lewis Cook",1
"Lisandro Martínez",1
"Adam Wharton",1
"Reinildo Mandava",1
"Xavi Simons",1
"Malo Gusto",1
"Ryan Christie",1
"Joachim Andersen",1
"Anthony Gordon",1
"Maxence Lacroix",1
"Harry Maguire",1
"Jake O'Brien",1
"Michael Keane",1
"Marc Cucurella",1
"Tomáš Souček",1
"Robert Sánchez",1
"Lucas",1
"Lesley Ugochukwu",1
"Jean-Clair Todibo",1
"Pedro Neto",1
"Kevin Schade",1
"Luke O'Nien",1
"Josh Laurent",1
"Idrissa Gana Gueye",1
"Jacob Ramsey",1
"Lucas Paquetá",1
"Gabriel Gudmundsson",1
"Ezri Konsa",1
"Emmanuel Agbadou",1
"Dominik Szoboszlai",1
