"player","total_goals","total_assists","goal_contributions"
"Erling Haaland",27,8,35
"Bruno Fernandes",9,21,30
"Igor Thiago",22,1,23
"Antoine Semenyo",17,4,21
"Jarrod Bowen",9,11,20
"João Pedro",15,5,20
"Ollie Watkins",16,3,19
"Morgan Gibbs-White",15,4,19
"Harry Wilson",10,7,17
"Morgan Rogers",10,6,16
"Rayan Cherki",4,12,16
"Viktor Gyökeres",14,1,15
"Richarlison",11,4,15
"Hugo Ekitike",11,4,15
"Dominic Calvert-Lewin",14,1,15
"Danny Welbeck",13,1,14
"Bryan Mbeumo",11,3,14
"Mohamed Salah",7,7,14
"Enzo Fernández",10,4,14
"Bruno Guimarães",9,5,14
"Eli Junior Kroupi",13,0,13
"Dominik Szoboszlai",6,7,13
"Phil Foden",7,5,12
"Cody Gakpo",7,5,12
"Jean-Philippe Mateta",12,0,12
"Leandro Trossard",6,6,12
"Bukayo Saka",7,5,12
"Raúl Jiménez",9,3,12
"Matheus Cunha",10,2,12
"Kiernan Dewsbury-Hall",8,4,12
"Benjamin Šeško",11,1,12
"Cole Palmer",10,1,11
"Kevin Schade",8,3,11
"Nick Woltemade",8,3,11
"Casemiro",9,2,11
"Pedro Neto",5,6,11
"Zian Flemming",11,0,11
"Enzo Le Fée",5,6,11
"Marcus Tavernier",7,4,11
"Dango Ouattara",7,3,10
"Igor Jesus",6,4,10
"Ismaila Sarr",9,1,10
"Jeremy Doku",5,5,10
"Jaidon Anthony",8,2,10
"Beto",9,1,10
"John McGinn",5,4,9
"Declan Rice",4,5,9
"Eberechi Eze",7,2,9
"Brenden Aaronson",4,5,9
"Noah Okafor",8,1,9
"Iliman Ndiaye",6,3,9
"James Garner",2,7,9
"Emi Buendía",6,2,8
"Nico O’Reilly",5,3,8
"Florian Wirtz",5,3,8
"Jack Grealish",2,6,8
"Elliot Anderson",4,4,8
"Thierno Barry",8,0,8
"Brian Brobbey",7,1,8
"Callum Wilson",7,1,8
"Mikkel Damsgaard",4,4,8
"Anton Stach",5,3,8
"Anthony Gordon",6,2,8
"Patrick Dorgu",4,4,8
"Ryan Gravenberch",5,3,8
"Harvey Barnes",7,1,8
"Jurriën Timber",3,5,8
"Jack Hinshelwood",4,3,7
"Mikel Merino",4,3,7
"Evanilson",6,1,7
"Lukas Nmecha",6,1,7
"Mateus Fernandes",3,4,7
"Callum Hudson-Odoi",3,4,7
"Alex Iwobi",4,3,7
"Mohammed Kudus",2,5,7
"Granit Xhaka",1,6,7
"Martin Ødegaard",1,6,7
"Yankuba Minteh",3,4,7
"João Palhinha",5,2,7
"Gabriel Magalhães",3,4,7
"Xavi Simons",2,5,7
"Crysencio Summerville",5,2,7
"William Osula",7,0,7
"Samuel Chukwueze",3,4,7
"Daniel Muñoz",4,3,7
"Rayan",5,2,7
"Tijjani Reijnders",5,2,7
"Pape Matar Sarr",2,4,6
"Jan Paul van Hecke",3,3,6
"Martín Zubimendi",5,1,6
"Valentín Castellanos",6,0,6
"Omari Hutchinson",1,5,6
"Yasin Ayari",3,3,6
"Omar Marmoush",3,3,6
"Adrien Truffert",1,5,6
"Bernardo Silva",2,4,6
"Reece James",2,4,6
"Keane Lewis-Potter",3,3,6
"Wilson Isidor",6,0,6
"Virgil van Dijk",6,0,6
"Matheus Nunes",1,5,6
"Nordi Mukiele",3,3,6
"Georginio Rutter",3,3,6
"Marc Guéhi",3,3,6
"Lucas Digne",0,6,6
"Alexis Mac Allister",2,4,6
"Matty Cash",3,3,6
"Adam Wharton",1,5,6
"Diego Gómez",5,1,6
"Mats Wieffer",2,3,5
"Hannibal Mejbri",1,4,5
"Donyell Malen",4,1,5
"Lucas Paquetá",4,1,5
"Maxim De Cuyper",2,3,5
"Kai Havertz",2,3,5
"Chemsdine Talbi",4,1,5
"Marc Cucurella",1,4,5
"Tomáš Souček",5,0,5
"Quilindschy Hartman",0,5,5
"James Tarkowski",2,3,5
"Gabriel Martinelli",1,4,5
"Jacob Murphy",3,2,5
"Micky van de Ven",4,1,5
"Amad Diallo",2,3,5
"Malo Gusto",2,3,5
"Jacob Ramsey",2,3,5
"Neco Williams",2,3,5
"Jørgen Strand Larsen",4,1,5
"Marcos Senesi",0,5,5
"Idrissa Gana Gueye",2,3,5
"El Hadji Malick Diouf",0,5,5
"Alejandro Garnacho",1,4,5
"Lewis Miley",1,4,5
"Cristian Romero",4,1,5
"Vitaly Janelt",1,4,5
"Lyle Foster",3,2,5
"Taiwo Awoniyi",4,1,5
"Mathys Tel",4,1,5
"Boubacar Kamara",1,3,4
"Santiago Bueno",3,1,4
"Sean Longstaff",2,2,4
"Habib Diarra",2,2,4
"Estêvão Willian",2,2,4
"Ross Barkley",3,1,4
"Alex Scott",3,1,4
"Michael Keane",3,1,4
"Malick Thiaw",4,0,4
"Joško Gvardiol",2,2,4
"Kaoru Mitoma",3,1,4
