"team","total_goals","total_assists","total_yellow_cards","total_red_cards"
"Manchester City",74,57,67,0
"Arsenal",67,51,51,0
"Manchester United",66,46,64,3
"Liverpool",61,44,57,1
"Chelsea",57,39,98,8
"Bournemouth",57,35,88,2
"Brentford",53,33,69,1
"Newcastle United",53,32,67,3
"Aston Villa",53,40,58,1
"Brighton & Hove Albion",51,33,86,0
"Leeds United",48,24,64,1
"Nottingham Forest",47,34,60,1
"Tottenham Hotspur",47,36,101,4
"Everton",45,34,74,4
"West Ham United",44,31,69,3
"Fulham",43,26,75,1
"Crystal Palace",40,23,76,2
"Sunderland",38,25,82,3
"Burnley",35,27,65,3
"Wolverhampton Wanderers",26,18,80,3
